dataset,model,size,variant,seed,pearson_r,rel_diff_pct,scale_ratio,seg_ari,ari_ground_a,ari_ground_b
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,62,0.9992629544856066,20.450484355323443,1.2045048435532344,0.8285664394176411,0.14806604918840485,0.14373258477111178
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,63,0.9991757581984244,20.346445915179277,1.203464459151793,0.7141191529938825,0.18494155243587537,0.16169540292260307
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,64,0.9993107366366022,20.47921739882089,1.2047921739882088,0.958923994653681,0.13093897400211532,0.13093897400211532
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,65,0.998940149652842,20.258147588621004,1.2025814758862101,0.8348656008196058,0.17236158934659532,0.18025670987195333
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,66,0.9991611292629871,20.335178958084683,1.2033517895808465,0.9007262783868902,0.15324521891253276,0.1626329104371219
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,67,0.9989680672934759,20.300107846228386,1.2030010784622838,0.8429445577600594,0.14214068296527557,0.15059247717921867
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,68,0.9992801654988775,20.474590000372782,1.2047459000037277,0.9330980810391729,0.153124516347204,0.15370143053741514
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,69,0.9992277923502911,20.389089150652275,1.203890891506523,0.8577476261542212,0.19097336577020332,0.21816242540433187
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,70,0.99901757598615,20.313598809484144,1.2031359880948411,0.5563887493074614,0.18810693827008998,0.1994854432245558
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,71,0.9993257022463331,20.548398469725065,1.2054839846972505,0.9285871461234791,0.22005289900252253,0.21877716020053362
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,42,0.9987306533476141,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,43,0.9987306533476142,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,44,0.9987306533476143,19.207380935844085,1.1920738093584409,0.7435858110974785,0.19198355258624325,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,45,0.9987306533476143,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,46,0.9978441776839224,19.386064464656393,1.193860644646564,0.8864470584930192,0.14450091727635198,0.16232302972664317
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,47,0.9979706479654546,18.834287733095195,1.188342877330952,0.8354949477117468,0.14300575238936392,0.15116930750834123
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,48,0.9978441776839228,19.386064464656393,1.1938606446465638,0.8864470584930192,0.14450091727635198,0.16232302972664317
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,49,0.9979573529388577,18.75637536803149,1.1875637536803147,0.8449858475812672,0.16084887038793064,0.17205995191627488
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,50,0.9979573529388577,18.75637536803149,1.1875637536803147,0.859276687340069,0.16084887038793064,0.16498395071042854
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,51,0.9987306533476146,19.207380935844085,1.1920738093584407,0.7612413156369587,0.20286207802254566,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,52,0.9987306533476143,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,53,0.9979706479654549,18.834287733095195,1.188342877330952,0.8289968882339164,0.13101418247288393,0.15116930750834123
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,54,0.9979706479654549,18.834287733095195,1.188342877330952,0.8358619766624817,0.13101418247288393,0.15116930750834123
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,55,0.9987306533476142,19.207380935844085,1.1920738093584409,0.7435858110974785,0.19198355258624325,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,56,0.9987306533476142,19.207380935844085,1.1920738093584409,0.8187899925223615,0.18940130296242622,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,57,0.9979573529388577,18.756375368031495,1.1875637536803147,0.859276687340069,0.16084887038793064,0.16498395071042854
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,58,0.9979573529388577,18.75637536803149,1.1875637536803147,0.859276687340069,0.16084887038793064,0.16498395071042854
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,59,0.9987306533476143,19.20738093584409,1.192073809358441,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,60,0.9987306533476142,19.207380935844085,1.1920738093584409,0.7986399627917032,0.186932554787314,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,61,0.9987306533476143,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,62,0.9987306533476142,19.207380935844085,1.1920738093584409,0.7612413156369587,0.20286207802254566,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,63,0.9979573529388577,18.75637536803149,1.1875637536803147,0.8449858475812672,0.16084887038793064,0.17205995191627488
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,64,0.9987306533476142,19.207380935844085,1.1920738093584409,0.8289292274537919,0.19006227760271385,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,65,0.9987306533476142,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,66,0.9987306533476143,19.207380935844085,1.1920738093584409,0.8188280409671234,0.19659174279666702,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,67,0.9987306533476143,19.207380935844085,1.1920738093584409,0.7435858110974785,0.19198355258624325,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,68,0.9987306533476142,19.207380935844085,1.1920738093584409,0.8289292274537919,0.19006227760271385,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,69,0.9987306533476143,19.207380935844085,1.1920738093584409,0.8187899925223615,0.18940130296242622,0.19950222063101591
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,70,0.9979573529388579,18.756375368031495,1.187563753680315,0.8449858475812672,0.16084887038793064,0.17205995191627488
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,71,0.9987306533476142,19.207380935844085,1.1920738093584409,0.7435858110974785,0.19198355258624325,0.19950222063101591
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,42,0.9992933492365503,20.250912529066397,1.2025091252906641,0.9301566516786859,0.11021293744308062,0.11060842142195618
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,43,0.9993954959162688,20.333649454549622,1.203336494545496,0.9354819204256863,0.13664249903352277,0.14208298017808899
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,44,0.99944085445889,20.375691414796506,1.203756914147965,0.9281652561909345,0.14094368025042395,0.16286058086753838
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,45,0.9993571995779728,20.433679063648444,1.2043367906364846,0.7884981476916562,0.11623641043944216,0.13269495685876917
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,46,0.9994050204746024,20.366784082659027,1.2036678408265902,0.9200592307214508,0.13519722043121485,0.13589229980212467
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,47,0.9991416836903403,20.14178224959066,1.2014178224959065,0.7990112321713937,0.16575892071615628,0.18908281315114303
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,48,0.9991483111771233,20.131695357816344,1.2013169535781634,0.9645130097841368,0.16149773887619379,0.1599009236554471
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,49,0.9993099173189152,20.38844958427621,1.2038844958427624,0.9406536664379742,0.14074215536871895,0.1389852688824038
